SampleID,10_reads,25_reads,50_reads
S008801,2.3624193339892945,1.890711255470332,1.1868330078868248
S008802,1.5604472457977001,1.395030948212357,1.0995204958954383
S008803,0.7132143441025574,0.6694729952179795,0.606547637856806
S008804,1.0058966608563191,0.9729055102054681,0.9524418337712489
S008805,1.8574165010445731,1.8389953002630997,1.7711588554768658
S008806,1.740280985958937,1.616316253005727,1.324661810702912
S008807,1.6918867963693172,1.498299662945688,1.3818777558641822
S008809,-0,NA,NA
S008810,1.768697136482254,1.3828947624570491,1.205271162634792
S008811,1.6445523953945107,1.507051840265955,1.3839105909120288
S008812,1.7869053897656713,1.383421155378211,1.320263946819452
S008813,1.7879306366269865,1.6281602490194163,1.550195151255419
S008814,1.3293906839443892,1.29778534120383,1.232432877704578
S008815,0.8697745510898879,0.7824867777676449,0.713604499403456
S008816,1.883560754575904,1.7767797454184033,1.6686848589877845
S008817,0.9468038481178561,0.8327854740300419,0.8327854740300419
S008818,-0,-0,-0
S008824,1.3608761657642312,1.148205347403163,0.553038618280081
S008825,1.9037792013142125,1.5303068074781956,1.0950778621205006
S008826,1.3600233358385614,1.2859189315064183,1.1893075487073772
S008827,1.6250223104744401,1.442033433126885,1.1900699622460678
S008828,-0,NA,NA
S008833,0.6922017029622767,NA,NA
S008834,1.2864358106107796,0.8628432270126125,0.5180543531802171
S008835,0.8764234503286242,0.790403877225223,0.7510674154610197
S008836,1.9506838644282367,1.4548925674997188,1.2962154251944744
S008837,1.7919012135939167,1.715193988764411,1.6333446153215538
S008838,-0,-0,-0
S008843,-0,-0,-0
S008844,1.865769498960764,1.5377071466068972,1.3379986280143623
S008845,1.6561303371407794,1.4635271790957574,1.4635271790957574
S008846,1.685638161227321,1.634638644580879,1.53463342973655
S008847,2.015703600827685,1.666208643409583,1.5125090617709982
S008854,1.4857378913628263,0.9768631421790055,0.6575705744022774
S008855,1.275870593872675,1.191891531442406,1.191891531442406
S008856,1.627641998947855,1.443851042613594,0.9497056947412876
S008857,1.81049346375245,1.663209857346437,1.663209857346437
S008858,-0,-0,-0
S008860,2.0460597391776703,1.9809825763402755,1.9347536428263
S008861,1.7241149318221216,1.5383049028214362,1.2812326218973593
S008862,1.421024867816645,1.2043904152243927,0.9978015187165525
S008863,2.5381506853366953,2.404706025790928,2.239594160253125
S008864,-0,-0,-0
S008865,0.6065367558314639,0.6065367558314639,-0
S008871,2.0489389841183723,1.973398301236946,1.9107380438857724
S008872,2.366771380210562,2.1151905196667995,1.6481621117563483
S008873,2.132101919044648,1.8266012734382822,1.5807904609454984
S008874,-0,NA,NA
S008875,-0,-0,-0
S008876,-0,NA,NA
S008881,1.332945126845304,1.1040247731650654,0.9865567188460063
S008882,0.6187191250308035,-0,NA
S008883,2.080263836066554,1.634907562755358,0.6823438339977752
S008884,2.0095914956719776,1.9350456677705579,1.9009429418440038
S008888,-0,-0,-0
S008890,1.8333556572019025,1.6853121439580936,1.5043294750335647
S008891,1.7351390213352407,1.503740774832353,1.3607560324901964
S008894,1.5603972845878047,1.4370463530659954,1.01960469933229
S008896,-0,-0,-0
S008899,1.2838241587910817,1.1975997246161554,1.0624138787782116
S009001,-0,-0,-0
S009011,0.11775826972871231,0.11775826972871231,0.11775826972871231
S009015,-0,NA,NA
S009020,1.6443532258509987,0.6769517353038275,NA
S009021,1.2427968576442456,1.0054375291156572,0.8288339970302598
S009022,1.4550637531677684,1.1666734061973874,0.9593675819267744
S009023,1.5098131815720968,1.402876301741316,1.2700700966426732
S009024,-0,-0,-0
S009029,0.666278442414676,NA,NA
S009030,1.9368428509004505,1.6485285989668534,1.3599354513807604
S009032,1.5779971083572426,1.144748491543805,0.563645462654881
S009033,1.3512672718011023,1.3397071896441566,1.2391997381376083
S009038,1.398249632908645,1.2345772010264446,1.032411080831916
S009040,2.2398695484573223,2.1017429950416675,1.8913767184606047
S009041,1.025366800335315,0.8378817436031927,-0
S009042,1.2647857489240786,1.1688835593121532,1.1688835593121532
S009043,1.5468279937071405,1.040190103346032,1.040190103346032
S009045,0.6250831389160905,0.6250831389160905,-0
S009048,-0,-0,-0
S009050,1.358094531300768,1.210185520969835,0.9255495076028512
S009051,1.2044910657777745,0.9673221713805961,0.9673221713805961
S009052,1.5287779823826004,0.9472704880008893,0.6162320369969374
S009053,1.3391251022837405,1.1664152943877824,0.9687422286363961
S009060,1.5862224845882347,1.5217586554835043,1.3990513046160384
S009062,1.8359651469899916,1.6530589308307824,1.5791773689552764
S009063,2.1921069569560636,1.8988383465818213,0.9842954713675613
S009064,1.5149973336400475,1.2440021495255653,0.6781386669081823
S009065,0.14559892738078453,0.13546086509699332,0.09486539680477471
S009066,1.6145547379454492,1.6145547379454492,1.4106299067987855
S009067,0.12323046364333981,0.11674586087603381,0.11674586087603381
S009068,0.9032215194743538,0.9032215194743538,0.5570934265416042
S009070,1.6738296199126153,1.4381479627617115,1.323070908121548
S009071,1.7770769891476643,1.4627163645456982,1.2348182800546683
S009072,1.6034384255250642,1.3536154050757387,1.259711614327207
S009073,1.9561341820109637,1.435866789802648,1.290088761963374
S009074,-0,NA,NA
S009075,1.18604504717757,0.8497109490400476,0.6781252563567124
S009076,1.238588656017349,1.1132115432431355,-0
S009077,1.3108720538919763,1.1766431554425765,0.7591530606527565
S009080,2.323281419935802,2.177738584645194,2.0558775326147534
S009081,1.3480545052415156,1.1861205138886792,1.1364779897564206
S009082,1.3766573167121399,1.26050207507069,1.1588153829438894
S009083,1.8593636731851668,1.5194986252170275,1.2253883338248392
S009084,1.6383120816090493,1.3705273169596077,0.9637028901575617
S009085,1.988838265481171,1.78746907407429,1.4550095611357685
S009086,1.3314225336832464,0.5485364195202724,-0
S009087,1.18399878950013,1.0874478979609943,0.622764386686132
S009090,0.5895457783556761,0.40840477085836857,0.2980968428460736
S009091,1.6421265337297413,1.5968403239394042,1.50942889413859
S009092,2.0935038596471762,1.983929454845617,1.849762808025664
S009093,1.5949724415941255,1.5535137487407564,1.5207011794137868
S009094,2.0317490904926996,1.963145854726028,1.8326584079482102
S009095,1.1016500706790122,0.8993238998098971,0.8993238998098971
S009096,1.5793973822281555,0.9832725450925939,0.6574212898783545
S009097,1.3372302120736355,1.3181464270172112,1.1970692162781322
S009098,-0,-0,NA
S009971,2.1646446498650342,1.345315017994212,-0
S009972,0.022766661939824913,0.022766661939824913,-0
S009973,-0,-0,-0
S009974,0.7771014189195422,0.6636711293798316,0.6636711293798316
S009976,-0,-0,-0
S009978,-0,-0,-0
S009979,-0,-0,-0
S009982,0.6785008770139085,NA,NA
S009983,-0,-0,-0
S009987,-0,-0,-0
S009988,-0,-0,-0
S009989,-0,-0,-0
S009990,1.048872013427051,-0,NA
S009991,0.014721333119713017,-0,-0
S009992,0.6844432685953643,0.6844432685953643,0.6844432685953643
S009993,0.31074516994144724,0.31074516994144724,0.31074516994144724
S009995,0.31602693306086965,0.27680577552609503,0.27680577552609503
S009996,-0,-0,-0
S009998,0.38210061072842055,-0,-0
S009999,0.9972830305695379,-0,NA
S010000,1.6341988268297802,1.6341988268297802,1.5575218832425457
S010001,2.168377259275399,2.084339243726954,1.9811724173343115
S010002,1.499376226258377,1.3902854599280783,1.2910752362846694
S010003,1.464940526274576,1.3567144885166984,1.2610620581584355
S010004,1.877923250611241,1.8012687215979735,1.7392778128616424
S010005,2.4349712245106514,2.3725687620922513,2.198076765500462
S010007,1.9210168637684217,1.895523530629994,1.8382113268265152
S010008,2.0227237665029425,1.9284446980412442,1.799469459064883
S010009,1.6122145977989042,1.5544822209918663,1.47602457471194
S010010,1.8565448117309231,1.8422319573196655,1.7419741335880041
S010011,2.4218595837226475,2.36028076698557,2.36028076698557
S010012,1.523345653257127,1.308328087033303,1.1900123869180907
S010013,2.7489604176833704,2.2877698775114497,2.122524923753694
S010014,1.8954369357512435,1.3851974526320694,0.899770534401067
S010015,2.26008116641747,2.103709786169572,1.8242917495134396
S010019,1.4435480474579692,1.3635548713414358,1.3635548713414358
S010020,1.9668232407555712,1.8396274431023691,1.7184499402922273
S010021,1.966691278588873,1.9354170710074443,1.8732552855047468
S010022,1.7885873769429763,1.2970701954296755,1.0844281631298693
S010024,2.4533382517940154,2.1400002837573378,1.6177421991515748
S010029,2.2224342934765136,1.7195932086937262,1.3287237221779635
S010030,1.9350765250378592,1.6244046909844185,1.4512370795693936
S010031,2.3442614586365704,1.581628638180014,NA
S010032,2.132103127779392,1.7830752884279062,1.3413903557329145
S010033,1.781380053423568,1.6993232088832626,1.5948889268937452
S010035,1.8188434761867056,1.7724254326084565,1.7230381310465641
S010036,2.089409701497887,1.8932687160483812,1.6339591413142922
S010038,2.718686015619068,2.4843820365787597,1.8904512979785841
S010040,2.7962715982699784,2.6846532609087825,2.245091461908724
S010041,1.6581700710140492,1.614583476001611,1.614583476001611
S010042,2.0535978741670307,1.7446291751612548,1.4909440602509465
S010043,1.7408566991616188,1.7158870423257697,1.6949873432270306
S010044,2.652235770760085,2.2724782685659664,2.065355866267467
S010045,1.3103823003717685,1.2350843950435355,1.1320790671243937
S010046,1.8880319074852523,1.8044690074615148,1.7078723287235857
S010049,2.8633528304969196,2.041823149904443,0.6907114543575098
S010050,2.1203928025837264,2.062811100824037,1.998211075867598
S010051,1.8785858957882333,1.784184182838388,1.6843422999636988
S010052,2.2567841277062684,2.1698593824095878,1.8585017502393608
S010053,1.492111056891993,1.2525509397344998,1.2525509397344998
S010056,1.982217419114413,1.446507497995888,1.0847958469861743
S010057,1.4977386667190988,1.4324887608009562,1.3669366923155821
S010058,1.9813838712144956,1.8365158153786134,1.5980855826446614
S010059,1.7858165366470284,1.7858165366470284,1.7858165366470284
S010060,2.0583223131343265,1.870281817950993,1.3524099068530202
