SampleID,cutoff,diversity_index
S008801,10_reads,0.6385126785299529
S008802,10_reads,0.741428762039111
S008803,10_reads,0.2308328112440257
S008804,10_reads,0.9879629232813782
S008805,10_reads,0.9056992705025966
S008806,10_reads,0.9224375795575366
S008807,10_reads,0.4022433509808282
S008809,10_reads,0.0914723844823944
S008810,10_reads,0.979648761917329
S008811,10_reads,0.1153062913800001
S008812,10_reads,0.44042541583117417
S008813,10_reads,0.4785917317120384
S008814,10_reads,0.5807801361953663
S008815,10_reads,1.2809922806995264
S008816,10_reads,0.5364108846544963
S008817,10_reads,0.6827167540912841
S008818,10_reads,0.4107645163635116
S008819,10_reads,-0
S008820,10_reads,-0
S008821,10_reads,0.40777133848612435
S008822,10_reads,1.0198770198952085
S008823,10_reads,-0
S008824,10_reads,0.08246784224672185
S008825,10_reads,0.06928829692754361
S008826,10_reads,0.8595508395752812
S008827,10_reads,1.1849888510125577
S008828,10_reads,0.2108381215147419
S008829,10_reads,0.13747079077909963
S008830,10_reads,-0
S008831,10_reads,-0
S008832,10_reads,0.023902711373846225
S008833,10_reads,2.114163183525962
S008834,10_reads,0.9976988032871164
S008835,10_reads,1.2792700368977639
S008836,10_reads,1.475387278185619
S008837,10_reads,0.8808972904660463
S008838,10_reads,-0
S008839,10_reads,0.20801591466926422
S008840,10_reads,0.23516696304297188
S008841,10_reads,1.3211712650984406
S008842,10_reads,0.8161474305706322
S008843,10_reads,0.06469663546399507
S008844,10_reads,1.0058006767164103
S008845,10_reads,1.0646246843461447
S008847,10_reads,1.1882246222191348
S008848,10_reads,0.030321061445110382
S008849,10_reads,-0
S008850,10_reads,-0
S008851,10_reads,0.1028806830451314
S008852,10_reads,-0
S008853,10_reads,0.09847877277234166
S008854,10_reads,1.283870999772393
S008855,10_reads,-0
S008856,10_reads,1.6674798887233884
S008857,10_reads,0.6931212043474424
S008858,10_reads,-0
S008859,10_reads,0.049603046459076414
S008860,10_reads,1.4840489889941202
S008861,10_reads,0.9227010480225105
S008862,10_reads,0.10681992811849295
S008863,10_reads,1.4486841652899385
S008864,10_reads,0.11152000734952852
S008865,10_reads,2.0022096465974917
S008866,10_reads,0.11788988531604314
S008867,10_reads,0.09035390529313576
S008868,10_reads,0.023255760502644673
S008869,10_reads,0.07330302044732993
S008870,10_reads,-0
S008871,10_reads,1.1779211705862844
S008872,10_reads,1.5509974995549203
S008873,10_reads,1.0142388899663235
S008874,10_reads,-0
S008875,10_reads,0.2561789795624102
S008876,10_reads,0.44676496869556703
S008877,10_reads,0.02466305059849027
S008878,10_reads,1.840446465057929
S008879,10_reads,-0
S008880,10_reads,-0
S008881,10_reads,0.34649418274252236
S008882,10_reads,1.2060624706787326
S008883,10_reads,0.9188479873995478
S008884,10_reads,1.3979647826405688
S008885,10_reads,0.1635003554321879
S008886,10_reads,-0
S008887,10_reads,-0
S008888,10_reads,-0
S008889,10_reads,0.9274037490999198
S008890,10_reads,-0
S008891,10_reads,0.6962607494204373
S008892,10_reads,0.007508478545670641
S008893,10_reads,0.33621543631463296
S008895,10_reads,-0
S008896,10_reads,-0
S008897,10_reads,-0
S008898,10_reads,0.025105464097240616
S008899,10_reads,1.2389839483931484
S009000,10_reads,0.006455358748704544
S009001,10_reads,0.14502427526159156
S009002,10_reads,-0
S009003,10_reads,0.030575505964365448
S009004,10_reads,0.015673728330606713
S009005,10_reads,-0
S009006,10_reads,0.039361057336345984
S009007,10_reads,0.17905897791662556
S009008,10_reads,0.0060016065448811285
S009009,10_reads,0.008450573912399742
S009010,10_reads,-0
S009011,10_reads,-0
S009012,10_reads,0.04397143408734911
S009013,10_reads,-0
S009014,10_reads,-0
S009015,10_reads,0.6964192251000223
S009016,10_reads,-0
S009017,10_reads,-0
S009018,10_reads,-0
S009019,10_reads,-0
S009020,10_reads,0.47413931305783735
S009021,10_reads,0.05145134694442691
S009022,10_reads,1.1078441718856389
S009024,10_reads,-0
S009025,10_reads,-0
S009026,10_reads,-0
S009027,10_reads,-0
S009028,10_reads,0.011205483022473428
S009029,10_reads,1.351648135245313
S009030,10_reads,0.708083190497831
S009032,10_reads,0.19174420122753513
S009033,10_reads,0.4070766083260879
S009034,10_reads,-0
S009035,10_reads,-0
S009036,10_reads,-0
S009037,10_reads,-0
S009038,10_reads,0.004375242461203054
S009039,10_reads,-0
S009040,10_reads,1.0542282189904526
S009041,10_reads,1.003414332500836
S009043,10_reads,0.4390695366334994
S009044,10_reads,-0
S009045,10_reads,-0
S009046,10_reads,0.07782127631923057
S009047,10_reads,1.4294557836450172
S009048,10_reads,-0
S009049,10_reads,0.12749219162360523
S009050,10_reads,0.9247875818882191
S009051,10_reads,0.721618671261139
S009052,10_reads,0.6936284771514571
S009054,10_reads,0.01722369583396416
S009055,10_reads,-0
S009056,10_reads,-0
S009057,10_reads,-0
S009058,10_reads,-0
S009059,10_reads,-0
S009060,10_reads,1.0084349595235014
S009062,10_reads,-0
S009064,10_reads,0.6580278976131023
S009065,10_reads,0.5223350248543736
S009066,10_reads,0.7314003788919158
S009067,10_reads,0.9406632166012806
S009068,10_reads,0.05107524848219517
S009069,10_reads,0.22576941066792244
S009070,10_reads,0.7501432707436182
S009071,10_reads,0.31365221603850213
S009072,10_reads,1.7054478299933162
S009073,10_reads,0.32635259215163803
S009074,10_reads,-0
S009075,10_reads,1.0686455089998457
S009076,10_reads,1.2887913386959633
S009077,10_reads,0.5617895567762871
S009078,10_reads,0.052736048383237435
S009079,10_reads,-0
S009080,10_reads,1.062102366175406
S009081,10_reads,0.8464269507092268
S009082,10_reads,0.42726887881389813
S009083,10_reads,1.0418656444350853
S009084,10_reads,-0
S009085,10_reads,1.256360072117048
S009086,10_reads,0.32611053729289713
S009087,10_reads,0.5841623642640588
S009088,10_reads,-0
