SampleID,10_reads,25_reads,50_reads
S008801,0.6385126785299529,0.6029047555628574,0.522013112598792
S008802,0.741428762039111,0.702829682047343,0.6439524745891467
S008803,0.2308328112440257,0.2162029397668451,0.2162029397668451
S008804,0.9879629232813782,0.9672151970415643,0.9672151970415643
S008805,0.9056992705025966,0.9056992705025966,0.9056992705025966
S008806,0.9224375795575366,0.8100145724674307,0.6227371337829521
S008807,0.4022433509808282,0.37022902406735186,0.37022902406735186
S008809,0.0914723844823944,0.078913703153135,0.078913703153135
S008810,0.979648761917329,0.5754743484262641,0.32219953540215696
S008811,0.1153062913800001,0.1153062913800001,0.1153062913800001
S008812,0.44042541583117417,0.4084464302534796,0.4084464302534796
S008813,0.4785917317120384,0.41915786716572556,0.41915786716572556
S008814,0.5807801361953663,0.5423660024260288,0.5423660024260288
S008815,1.2809922806995264,1.2304586852485693,1.1921994014811328
S008816,0.5364108846544963,0.5261087730407896,0.5261087730407896
S008817,0.6827167540912841,0.6681788014829011,0.6681788014829011
S008818,0.4107645163635116,0.4107645163635116,0.3893233423095884
S008819,-0,-0,-0
S008820,-0,-0,-0
S008821,0.40777133848612435,0.3956644453956708,0.37012554027081174
S008822,1.0198770198952085,0.9968482615182355,0.9490490473100979
S008823,-0,-0,-0
S008824,0.08246784224672185,-0,-0
S008825,0.06928829692754361,0.06928829692754361,-0
S008826,0.8595508395752812,0.8519804942403786,0.8519804942403786
S008827,1.1849888510125577,1.1798848942850673,1.1798848942850673
S008828,0.2108381215147419,0.19954518417859735,0.19954518417859735
S008829,0.13747079077909963,0.13747079077909963,0.0935073183253166
S008830,-0,-0,-0
S008831,-0,-0,-0
S008832,0.023902711373846225,0.023902711373846225,-0
S008833,2.114163183525962,2.069741550720481,2.069741550720481
S008834,0.9976988032871164,0.9976988032871164,-0
S008835,1.2792700368977639,1.2561215844764584,1.1789137573321176
S008836,1.475387278185619,1.43717029781883,1.4057913414411358
S008837,0.8808972904660463,0.8633831206274032,0.8179678472332892
S008838,-0,-0,-0
S008839,0.20801591466926422,0.18935235141983808,0.17317041641003644
S008840,0.23516696304297188,0.21642249679615416,0.21642249679615416
S008841,1.3211712650984406,1.3161251793745472,1.2676404103203263
S008842,0.8161474305706322,0.7960462528571022,0.774002513836465
S008843,0.06469663546399507,0.06469663546399507,0.06469663546399507
S008844,1.0058006767164103,1.0058006767164103,1.0058006767164103
S008845,1.0646246843461447,1.0646246843461447,1.0646246843461447
S008847,1.1882246222191348,1.1882246222191348,1.1882246222191348
S008848,0.030321061445110382,0.030321061445110382,0.030321061445110382
S008849,-0,-0,-0
S008850,-0,-0,-0
S008851,0.1028806830451314,0.1028806830451314,0.08686223955638253
S008852,-0,-0,-0
S008853,0.09847877277234166,0.09847877277234166,0.09847877277234166
S008854,1.283870999772393,1.2745602179165012,1.250806592875866
S008855,-0,NA,NA
S008856,1.6674798887233884,1.6579330003827006,1.6100251242689159
S008857,0.6931212043474424,0.6931212043474424,0.6931212043474424
S008858,-0,-0,-0
S008859,0.049603046459076414,0.049603046459076414,0.049603046459076414
S008860,1.4840489889941202,1.4840489889941202,1.4840489889941202
S008861,0.9227010480225105,0.9227010480225105,0.8850028797445042
S008862,0.10681992811849295,0.09046216957710301,-0
S008863,1.4486841652899385,1.4192490289058806,1.3691364104959187
S008864,0.11152000734952852,0.09895831871178279,0.08558756633149651
