SampleID,10_reads,25_reads,50_reads
S008801,2.6595779560844015,2.1113984987600247,1.5807158497996938
S008802,1.4845510939274433,1.3351198426582467,1.0055268355541713
S008803,0.7525870592239965,0.6810164216739141,0.5987993132276063
S008804,0.996417894916327,0.9570490837876529,0.9364226470524329
S008805,1.876547400525929,1.832304772283182,1.7638745839814733
S008806,1.771729643244689,1.5570191800081037,1.1957768535387292
S008807,1.6230273108185198,1.4392625194279982,1.238834842335128
S008810,1.8961530827958275,1.3918440101016651,1.2064166720091338
S008811,1.6852679849773788,1.4454309239079994,1.2696781886732982
S008812,1.8066987394447933,1.3875529424986413,1.2657464946670172
S008813,1.8043415009294308,1.529466199275665,1.4515073690848324
S008814,1.336349270024761,1.2850831974282366,1.2234850984197623
S008815,0.8577668689271217,0.7268405609699649,0.7083642049398509
S008816,1.9378493837606239,1.758415791311925,1.6578371767236109
S008817,0.9109760267070413,0.8164297671128979,0.8164297671128979
S008824,1.2449725012504047,0.9269601469885722,0.553038618280081
S008825,1.8623082627725704,1.5204877992855297,1.0940648163340965
S008826,1.3502460053816223,1.275736267457483,1.1861708978675385
S008827,1.629488956271543,1.3748527617286197,0.9692414678862249
S008834,1.288664496570212,0.864451590197602,0.5191976650560196
S008835,0.8762669629798414,0.7901473214494923,0.7507650420677089
S008836,1.9349567812874597,1.285317378278223,1.285317378278223
S008837,1.7745752009386895,1.6968928512347075,1.6288020539581372
S008844,1.918145315582971,1.5302634625373777,1.0618437638643987
S008845,1.650851296458531,1.4568931926538613,1.4568931926538613
S008846,1.701639104504526,1.6125730070590587,1.5347155640587573
S008847,2.149076625745703,1.6326893126599067,1.3198543951415962
S008854,1.4610994742104988,0.9672646589578459,0.6575705744022774
S008855,1.259108936897755,1.1773966117656025,1.1773966117656025
S008856,1.6159850755701441,1.246034805003211,0.9362444049264853
S008857,1.8467325328161537,1.6632581126368668,1.6632581126368668
S008860,2.1128649136247057,2.0334639429501085,1.822307672579532
S008861,1.684598555098095,1.423158665578927,1.2120227396214125
S008862,1.421118200240625,1.2030328974280402,0.9988432016892681
S008863,2.5761435647148887,2.407795450329846,2.2368122485681616
S008871,2.4960002368085727,2.430215913112694,2.3444894816794455
S008872,2.4510502726456544,2.087591613785356,1.610452637533271
S008873,2.667916086721229,2.3080733744091617,2.0261758469315314
S008881,1.2494386559515749,1.0903968342603552,0.9757686309885867
S008883,2.1251557769148675,1.5124789231694573,0.6710335763014748
S008884,2.037383534379743,1.9552136942877243,1.8925084037345852
S008890,2.421141050098874,2.2537672445021197,2.0343649532567896
S008891,1.7734617019276646,1.4700470507590075,1.331410979995411
S008894,1.6431329625818563,1.44662411353734,1.0230978911184978
S008899,1.382740021904402,1.1493125286563812,0.9346523746901688
S009020,1.4627130878320598,0.6788267084867275,NA
S009021,1.2309865498391193,1.0087159822123928,0.8310534399935089
S009022,1.4900812856955954,1.120642557907473,0.9552465986709796
S009023,1.5050171352489123,1.3970919594751292,1.27184609675599
S009030,2.0704189710399685,1.6479779700635748,1.3376213778471
S009032,1.4931437507271212,0.996983710842376,0.559678807312416
