SampleID,10_reads,25_reads,50_reads
S008801,0.9135099031279105,0.8795400206696997,0.7208799766852866
S008802,1.6732811606599605,1.3337488837439049,1.2331574552906335
S008803,0.8896667409683029,0.5648062135177995,0.48489158653727793
S008804,1.6794282799307256,1.3403112869950615,1.1468603452975428
S008805,1.3303131422086638,1.2422125314494594,1.2422125314494594
S008806,1.7218911477824301,0.8868656009622662,0.6814805090536189
S008807,0.8311640258938472,0.7800860544505496,0.7800860544505496
S008810,1.2373118720749121,0.7105342258599299,0.5801943445967528
S008811,0.32653930220651195,0.2211965492148001,0.1880292591067026
S008812,0.7210737578817352,0.5449803231195997,0.5449803231195997
S008813,0.7805770650278948,0.6721674970522526,0.5503728236953865
S008814,0.7428670585419525,0.5955321870766723,0.5324994521860867
S008815,1.7424130765973227,1.5253199694704518,1.2385441738754646
S008816,0.5569924727018336,0.5140016453963845,0.4944776545278555
S008817,0.7582354090425026,0.7012377218620286,0.7012377218620286
S008824,0.5126930887238651,0.5126930887238651,0.5126930887238651
S008825,0.38333356277574826,0.23497894432222602,0.14593435596534476
S008826,2.2139928764932795,1.710255793642492,1.3421005033995848
S008827,1.2271072750615681,1.186375518785144,1.1690977811500702
S008834,1.320840876700763,1.049939807880838,-0
S008835,1.5594696915463089,1.4789432080994849,1.2344149542116605
S008836,2.517243134221975,2.166183597985536,1.8749101072627432
S008837,1.1249157648657546,1.0996410778955577,1.0562507646531594
S008844,1.4546350924977942,1.3947933511996968,1.3675298140925192
S008845,1.122560575227639,1.0988370346935632,1.041487669113081
S008847,1.288433471519457,1.2737131597399305,1.2340444268605766
S008854,1.3384334408868928,1.3192614807544796,1.2954804100370625
S008856,2.1052509876752943,2.014742666669991,1.972742309006694
S008857,1.250990417441111,1.2213839941379763,1.2213839941379763
S008860,1.9042121129713772,1.880120213559918,1.8493315641023134
S008861,1.1636030748151194,1.012198924668822,0.9685880796763306
S008862,0.7911918991800162,0.6465706538775354,0.5258077075602872
S008863,1.9507018063214243,1.8739641552417197,1.7451432136078866
S008871,1.2770354609619308,1.2770354609619308,1.2770354609619308
S008872,1.5578521869929653,1.5294230540414102,1.3910974516484071
S008873,1.0748411162084444,1.0748411162084444,1.0212406128530516
S008881,1.0972873209358267,0.9748589496094396,0.9155732574108386
S008883,1.2881925626459774,1.2529373455884454,0.9816718740609864
S008884,1.5806826754627525,1.4557049693771047,1.4557049693771047
S008890,-0,-0,-0
