SampleID,cutoff,diversity_index
S008801,10_reads,2.6595779560844015
S008802,10_reads,1.4845510939274433
S008803,10_reads,0.7525870592239965
S008804,10_reads,0.996417894916327
S008805,10_reads,1.876547400525929
S008806,10_reads,1.771729643244689
S008807,10_reads,1.6230273108185198
S008809,10_reads,-0
S008810,10_reads,1.8961530827958275
S008811,10_reads,1.6852679849773788
S008812,10_reads,1.8066987394447933
S008813,10_reads,1.8043415009294308
S008814,10_reads,1.336349270024761
S008815,10_reads,0.8577668689271217
S008816,10_reads,1.9378493837606239
S008817,10_reads,0.9109760267070413
S008818,10_reads,-0
S008824,10_reads,1.2449725012504047
S008825,10_reads,1.8623082627725704
S008826,10_reads,1.3502460053816223
S008827,10_reads,1.629488956271543
S008828,10_reads,-0
S008833,10_reads,0.6922017029622767
S008834,10_reads,1.288664496570212
S008835,10_reads,0.8762669629798414
S008836,10_reads,1.9349567812874597
S008837,10_reads,1.7745752009386895
S008838,10_reads,0.06763682481257938
S008843,10_reads,-0
S008844,10_reads,1.918145315582971
S008845,10_reads,1.650851296458531
S008846,10_reads,1.701639104504526
S008847,10_reads,2.149076625745703
S008854,10_reads,1.4610994742104988
S008855,10_reads,1.259108936897755
S008856,10_reads,1.6159850755701441
S008857,10_reads,1.8467325328161537
S008858,10_reads,-0
S008860,10_reads,2.1128649136247057
S008861,10_reads,1.684598555098095
S008862,10_reads,1.421118200240625
S008863,10_reads,2.5761435647148887
S008864,10_reads,0.18952449845674302
S008865,10_reads,0.6139698579328221
S008871,10_reads,2.4960002368085727
S008872,10_reads,2.4510502726456544
S008873,10_reads,2.667916086721229
S008875,10_reads,-0
S008876,10_reads,-0
S008881,10_reads,1.2494386559515749
S008882,10_reads,0.6187191250308035
S008883,10_reads,2.1251557769148675
S008884,10_reads,2.037383534379743
S008888,10_reads,0.8871255357281771
S008890,10_reads,2.421141050098874
S008891,10_reads,1.7734617019276646
S008894,10_reads,1.6431329625818563
S008896,10_reads,1.6877989696427762
S008899,10_reads,1.382740021904402
S009001,10_reads,1.6756744381455488
S009011,10_reads,0.3431323910532911
S009015,10_reads,-0
S009020,10_reads,1.4627130878320598
S009021,10_reads,1.2309865498391193
S009022,10_reads,1.4900812856955954
S009023,10_reads,1.5050171352489123
S009024,10_reads,1.9933085963331196
S009029,10_reads,0.666278442414676
S009030,10_reads,2.0704189710399685
S009032,10_reads,1.4931437507271212
S009033,10_reads,1.3492034906225887
S009038,10_reads,1.5779221907550207
S009040,10_reads,2.2209863271267576
S009041,10_reads,0.9966663780988725
S009042,10_reads,1.3508783372092048
S009043,10_reads,1.6640179503743122
S009045,10_reads,0.6187191250308035
S009048,10_reads,0.21422188639737186
S009050,10_reads,1.3546258620024394
S009051,10_reads,1.1931360222081155
S009052,10_reads,1.5779229212749657
S009053,10_reads,1.3348863220744485
S009060,10_reads,1.7129130579478355
S009062,10_reads,1.8217337762145562
S009064,10_reads,1.524805627249408
S009065,10_reads,0.24268133775038403
S009066,10_reads,1.584318979625574
S009067,10_reads,0.2267301576026761
S009068,10_reads,0.497030138392423
S009070,10_reads,1.9094135205419238
S009071,10_reads,2.108076148654665
S009072,10_reads,1.6058443869129861
S009073,10_reads,1.926730350706391
S009074,10_reads,-0
S009075,10_reads,1.2473389568905315
S009076,10_reads,1.238588656017349
S009077,10_reads,1.2571065009236955
S009080,10_reads,2.3870632772278895
S009081,10_reads,1.3444254792661625
S009082,10_reads,1.592379973289432
S009083,10_reads,1.9246039783527764
S009084,10_reads,1.5773754354457226
S009085,10_reads,1.895921927898252
S009086,10_reads,1.3348401980326745
S009087,10_reads,1.0874478979609943
S009090,10_reads,0.5776193082557837
S009091,10_reads,1.8224819512981736
S009092,10_reads,2.098769808983208
S009093,10_reads,1.5896962547056819
S009094,10_reads,2.1207472294323404
S009095,10_reads,1.0882987531766035
S009096,10_reads,1.6084258626968728
S009097,10_reads,1.344099989231697
S009098,10_reads,-0
S009971,10_reads,2.075526022902123
S009972,10_reads,0.057364020271033545
S009973,10_reads,-0
S009974,10_reads,0.9430538975960967
S009976,10_reads,-0
S009978,10_reads,0.471224237629378
S009979,10_reads,-0
S009982,10_reads,0.6911927820032008
S009983,10_reads,-0
S009987,10_reads,-0
S009988,10_reads,0.5124459891172451
S009989,10_reads,0.17289357712193357
S009990,10_reads,1.0631396427792277
S009991,10_reads,0.02842564354079542
S009992,10_reads,0.6844432685953643
S009993,10_reads,0.31074516994144724
S009995,10_reads,0.34209981520403915
S009996,10_reads,-0
S009998,10_reads,1.2754167188623298
S009999,10_reads,1.0297492076866108
S010000,10_reads,1.6335845191386023
S010001,10_reads,2.317101594598447
S010002,10_reads,1.502581508070687
S010003,10_reads,1.4248601474043805
S010004,10_reads,2.0847977487987834
S010005,10_reads,2.636898784478273
S010007,10_reads,2.1363862293194966
S010008,10_reads,2.0430285009988927
S010009,10_reads,1.5716204736260264
S010010,10_reads,1.91638353437697
S010011,10_reads,2.6399528438175874
S010012,10_reads,1.4886199868168122
S010013,10_reads,2.9917345577579786
S010014,10_reads,1.810171172241998
S010015,10_reads,2.6291979613662115
S010019,10_reads,1.4472694016255265
S010020,10_reads,2.0734929209131243
S010021,10_reads,2.2137976202416403
S010022,10_reads,2.0365606139574863
S010024,10_reads,2.373195037595494
S010029,10_reads,2.353814243536596
S010030,10_reads,1.9802704179879564
S010031,10_reads,2.320658706294276
S010032,10_reads,2.3428596064374227
S010033,10_reads,1.8566993194046848
S010035,10_reads,1.806490426553738
S010036,10_reads,2.063422099709961
S010038,10_reads,2.762924145467962
S010040,10_reads,2.938710198662249
S010041,10_reads,1.681645378864689
S010042,10_reads,2.2628818567667723
S010043,10_reads,1.7249245409196943
S010044,10_reads,2.8973286605678186
S010045,10_reads,1.4169310749119017
S010046,10_reads,1.8697205494909828
S010049,10_reads,2.9060959607290058
S010050,10_reads,2.2581418000310554
S010051,10_reads,1.8727418067426196
S010052,10_reads,2.4659989315219284
S010053,10_reads,1.425036766874431
S010056,10_reads,2.0346938815481987
S010057,10_reads,1.5773456770264251
S010058,10_reads,1.9737545541467583
S010059,10_reads,1.851762623738976
S010060,10_reads,1.9696658063086174
S010061,10_reads,1.8451358187846296
S010063,10_reads,2.3143973944061567
S010066,10_reads,1.9759895715314342
S010067,10_reads,1.366598118918539
S010068,10_reads,1.7259961098150343
S010069,10_reads,2.350756458747125
S010070,10_reads,2.579777458778603
S010071,10_reads,2.1369482118286633
S010072,10_reads,1.3952336888232815
S010074,10_reads,2.2089575348378063
S010075,10_reads,2.604407458701215
S010076,10_reads,1.9547702270089071
S010077,10_reads,2.0442053797485022
S010078,10_reads,1.81216796966551
S010079,10_reads,1.5854620094509768
S010080,10_reads,1.9096803389727761
S010081,10_reads,2.447220688775519
S010082,10_reads,0.619828211163071
S010084,10_reads,0.9774796623963941
S010085,10_reads,0.9878229254556556
S010086,10_reads,1.6753750731552686
S010087,10_reads,2.060185027507594
S010088,10_reads,2.6035003765496887
S010089,10_reads,2.126266309171357
S010090,10_reads,1.6211633541208448
S010091,10_reads,2.2173420442166942
S010092,10_reads,1.4969523192163818
S010094,10_reads,0.6403792905420645
S010095,10_reads,1.9583057837959363
S010096,10_reads,2.3396891641617077
S010097,10_reads,1.9560308954605237
S010098,10_reads,0.9422402395982149
S010099,10_reads,2.2810700372405472
S009063,10_reads,2.112005850364411
S012808,10_reads,1.6169324760962738
S012839,10_reads,2.1857507634405327
S012849,10_reads,1.3939848790736722
S012850,10_reads,1.8766032815351215
S012851,10_reads,0.9156938992941326
S012858,10_reads,1.0158369252571209
S012859,10_reads,1.318174813270302
S012860,10_reads,0.8949013955357985
S012861,10_reads,0.20184770032437863
S012862,10_reads,1.0145854572868727
S012863,10_reads,-0
S012869,10_reads,1.5710842850324105
S012870,10_reads,1.3681602297743052
S012871,10_reads,1.6245314854524366
S012872,10_reads,0.623199948962173
S012873,10_reads,0.7477914108400817
S012878,10_reads,1.4582784239109992
S012880,10_reads,1.382646833534809
S012881,10_reads,-0
S012882,10_reads,-0
S012883,10_reads,1.2704926694202965
S012884,10_reads,0.005358458908736115
S012889,10_reads,1.0082064359950056
S012890,10_reads,0.6066242476423342
S012891,10_reads,1.523889958876431
S012892,10_reads,0.6042812763238884
S012893,10_reads,2.052322625441567
S012894,10_reads,0.2960128262588389
S013002,10_reads,2.3576444597804347
S013003,10_reads,2.3945377018126552
S013004,10_reads,1.5301580049340628
S013007,10_reads,1.4517948823779958
S013009,10_reads,1.0227991363528104
S013010,10_reads,1.9714658148611728
S013011,10_reads,2.9356103214650004
S013012,10_reads,1.8423375714585808
S013013,10_reads,3.011493138939261
S013014,10_reads,2.0617075256682464
S013016,10_reads,1.7949099797375871
S013017,10_reads,0.8941914833349877
S013019,10_reads,1.848271142680687
S013020,10_reads,2.5115986155140657
S013021,10_reads,-0
S013022,10_reads,2.3476271965261204
S013023,10_reads,2.183453113202117
S013024,10_reads,0.9646629689023861
S013025,10_reads,1.873137934191665
S013026,10_reads,0.811414674570335
S013027,10_reads,0.12458200320655308
S013028,10_reads,1.5346889745269476
S013029,10_reads,1.98918484118475
S013030,10_reads,0.44376344079665037
S013031,10_reads,2.1550339245607
S013032,10_reads,1.2884412419797193
S013033,10_reads,2.3647556825248364
